business_type,cohort_date,province,industry_l1,industry_l2,industry_l3,primary_service,buuid,plan_created,charge_rate,principal_amount,total_amount_payable,total_amount_paid,plan_state
Company,2016-06-01 00:00:00,Free State,Home and repair,Home repair,Clothing or shoe repair / alterations,Card Machine,1465748161482-3c0312f6-0d03-45f5-bab8-96aafbb8ae1b,2021-09-22 17:16:23,22,12000,15650,15650,finished
Company,2016-06-01 00:00:00,Free State,Home and repair,Home repair,Clothing or shoe repair / alterations,Card Machine,1465748161482-3c0312f6-0d03-45f5-bab8-96aafbb8ae1b,2021-10-10 03:41:44,22,18000,23450,5469.2,open
Sole Proprietor,2016-10-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1475575761198-8694c56c-72c2-4277-81b6-fc350e030642,2021-09-30 14:26:52,7,4000,5050,1242.95,open
Sole Proprietor,2016-11-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Bakery,Card Machine,1479186352122-b626c88f-c706-459c-b22a-6eb9002ade57,2021-09-23 08:53:29,15.84,490000,631120,,open
Sole Proprietor,2016-11-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Bakery,Card Machine,1479186352122-b626c88f-c706-459c-b22a-6eb9002ade57,2021-09-23 10:44:10,15.31,475000,612750,147301.01,open
Sole Proprietor,2017-03-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1489648940939-78766139-6048-40f3-b777-3af14c369efe,2021-11-27 07:11:51,23,49000,63750,4700.28,open
Company,2017-03-01 00:00:00,Limpopo,Home and repair,Asset repair,Computer Services,Card Machine,1490596538096-35de070c-a5b6-498d-81f3-d52100c74263,2021-09-03 11:13:10,21,6500,8500,3795.1,open
Sole Proprietor,2017-04-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1485364178329-42325630-a2c5-4da1-bae5-d5dfddde9d1b,2021-11-23 08:04:43,22,6000,7850,,collections_on_hold
Company,2017-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1499697127698-864e035a-64c2-4aa2-9544-565d6094b8b1,2021-11-17 19:01:24,24,17000,22150,1363.2,open
Sole Proprietor,2017-07-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,Other,Card Machine,1499957597619-50c6e68f-e628-41f8-b44f-79c9ec470b7d,2021-10-30 08:06:11,1,3000,3471,813.89,open
Sole Proprietor,2017-07-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1501099168521-056603da-46be-4988-a1ed-a57ac46db7be,2021-11-24 10:14:59,23,7000,9150,,collections_on_hold
Sole Proprietor,2017-08-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1501680821448-190eeff4-b3d0-4674-9f69-3dc56692504b,2021-11-24 15:07:24,25,30000,38150,,collections_on_hold
Sole Proprietor,2017-08-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1503254335831-b1c0f512-daaf-465a-b110-ef97da9cd78e,2021-09-14 11:47:27,23,9000,11660,4485.92,open
Company,2017-08-01 00:00:00,Western Cape,Retail,Retail art,Antiques & Restorations,Card Machine,1501317362941-fc95dbc1-fb31-4eca-a26e-856373d6167d,2021-10-13 11:36:27,21,38000,49450,12427,open
Sole Proprietor,2017-09-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1504592502465-a22d6398-25cc-4f47-88b0-e00215ed26a1,2021-10-04 07:57:04,20,15000,20679,6890,open
Sole Proprietor,2017-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1508927458423-2721990d-692a-468a-9170-be0176506b07,2021-10-20 19:24:08,23,152000,197650,44086.4,open
Sole Proprietor,2017-11-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1475696677780-b9405ceb-c54d-4326-946f-25a0f701c39b,2021-09-17 14:35:16,21,30000,41615,14536.53,open
Sole Proprietor,2017-12-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1509659815413-f30e5f4a-1458-42f5-bc58-71c1105a6cac,2021-09-18 11:58:33,20,12500,25749,8854.6,open
Company,2018-02-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1519037608104-eaf72a23-6046-483d-9f02-955ded4d7298,2021-10-26 09:43:46,23,41000,87234,8047.7,open
Company,2018-02-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1519639581263-844fcc06-65ef-499b-a9fc-02c279c6a8d2,2021-10-27 13:39:41,25,60000,76850,11302.11,open
Sole Proprietor,2018-03-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1522036496173-47cae43c-0f9c-4fa1-a593-d42e6cbcd235,2021-10-06 10:52:28,22,10500,13700,4401.1,open
Sole Proprietor,2018-04-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1522082408908-e668b3b6-dab3-4625-ba24-beb06cff2aa6,2021-11-24 11:08:37,24,22000,28650,,collections_on_hold
Sole Proprietor,2018-04-01 00:00:00,Gauteng,Home and repair,Asset repair,Automotive services,Card Machine,1523524025309-110c186d-cdd3-49a8-a6d6-79049dd17fe9,2021-10-28 11:11:48,22,24000,33957,5232.7,open
Company,2018-05-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1523987645648-01979a02-9b37-4ce9-b52a-c51a4f025e94,2021-10-16 07:18:51,23,87000,113150,10205.1,open
Sole Proprietor,2018-05-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1525945435922-f7c3b824-58ec-4ba0-9eb1-319a23e318f1,2021-11-19 13:22:00,24,12000,15650,,collections_on_hold
Sole Proprietor,2018-05-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1526028447216-7e3ee637-d192-4117-94a6-2c335156c92d,2021-10-04 09:46:28,17,21000,34770,17179.35,open
Sole Proprietor,2018-06-01 00:00:00,Mpumalanga,Retail,Retail leisure,Toy/Hobby/Games,Card Machine,1529324502011-930752a8-27fe-4720-a813-3bdb11f2290a,2021-09-16 05:24:28,15,5500,7200,1832.25,open
Sole Proprietor,2018-06-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1529945480898-1c36107e-336c-4fcf-91e2-8f3fcf581fbd,2021-09-01 07:29:55,21,24000,31250,10844.4,open
Sole Proprietor,2015-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hairdresser,Card Machine,1448352746164-5b023087-c530-4c30-8e05-a74629d0f7b3,2021-09-29 12:48:19,22,8000,10450,2065.8,open
Sole Proprietor,2016-06-01 00:00:00,Western Cape,Online,Online,Online Retail,Card Machine,1466407484697-a2f8fb2a-a8c7-4124-8374-97576198dade,2021-10-06 09:19:13,21,10000,13050,1819.65,open
Company,2016-07-01 00:00:00,Western Cape,Home and repair,Home repair,Direct selling,Card Machine,1469340864705-80f6be41-0b5a-47ce-8bb3-812ca81f4827,2021-10-19 15:55:33,10,20000,25450,6054.8,open
Sole Proprietor,2016-10-01 00:00:00,Free State,Home and repair,Asset repair,Automotive services,Card Machine,1476199377969-e170998a-0bf9-430d-8623-804d56bf9e92,2021-10-29 09:05:26,23,54000,70250,10312.28,open
Sole Proprietor,2016-10-01 00:00:00,Western Cape,Personal services,Personal services,Pet Grooming,Card Machine,1477899670049-14420cce-179a-429b-bb22-37b37463201f,2021-09-29 07:20:06,24,19000,23800,11452.8,open
Sole Proprietor,2016-11-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1478233881346-4ac5cafa-3d3d-4a9c-97be-35bc1f1469b7,2021-10-20 11:29:59,23,14500,20444,4938.1,open
Sole Proprietor,2016-11-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1479931223486-6a264cf9-0f6f-4627-8f36-f6c19243181d,2021-11-24 07:36:23,17,20000,48433,,collections_on_hold
Company,2017-01-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Quick service restaurant with delivery,Card Machine,1481975620232-cae2f9d9-b8e3-4952-a7b6-6e2e49dbf7bc,2021-09-20 14:33:39,22,317000,412150,55598.49,open
Sole Proprietor,2017-01-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1483547333199-ce963a9c-4662-443e-9d52-8a4291ceb81f,2021-11-23 17:38:20,11,4000,4930,,collections_on_hold
Sole Proprietor,2017-02-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Sport,Sport & Fitness,Card Machine,1486986493791-1b316aa5-4069-42c5-91c1-375fecc3760e,2021-09-28 14:08:09,21,12000,15650,7585.07,open
Company,2017-02-01 00:00:00,Gauteng,Travel and tourism,Accomodation,Bed and Breakfast,Card Machine,1487445065259-1f4f1655-4c39-4023-957d-3c514ad7624a,2021-11-23 08:16:05,24,10000,12950,,collections_on_hold
Sole Proprietor,2017-03-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1490349994392-b00db1cf-ebe1-435f-bd06-175fbcf2a3a2,2021-09-30 07:38:51,5,12000,15290,6678.95,open
Sole Proprietor,2017-04-01 00:00:00,Mpumalanga,Retail,Retail apparel,Clothing and Accessories,Card Machine,1491851495442-1f98f2c7-e02f-4fb2-b8de-782e2c45c6af,2021-11-22 10:31:35,24,25000,50757,1349.04,open
Sole Proprietor,2017-06-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1496345054790-c3f5a41e-6cd5-49b2-bd09-3f42b2879a30,2021-10-19 12:57:14,22,18000,23450,5724.4,open
Sole Proprietor,2017-07-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1498892475754-a24fa124-c182-4254-bb73-92aea25f378e,2021-10-31 04:39:47,23,22000,62643,8564.05,open
Sole Proprietor,2017-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Bakery,Card Machine,1498922918920-767528bd-2084-43a2-b787-0ec01e89aec4,2021-10-29 14:26:20,23,167000,217150,29695.53,open
Sole Proprietor,2017-07-01 00:00:00,Gauteng,Professional services,Creative services,Photography/Art/Graphics/Design,Card Machine,1499415350254-48711987-a6dd-43e2-b368-7fe77f004432,2021-11-01 10:20:57,13,15000,19250,2263.17,open
Sole Proprietor,2017-07-01 00:00:00,Eastern Cape,Travel and tourism,Accomodation,Bed and Breakfast,Card Machine,1500281856754-73a00f43-b048-4d95-843d-d5a0b156da05,2021-11-18 14:50:20,23,18000,23450,,collections_on_hold
Company,2017-10-01 00:00:00,Kwazulu-Natal,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1508166870268-7fec74d1-a691-4464-b6b9-74a1e42d9b56,2021-10-01 10:26:12,45,29000,54906,17616.68,open
Sole Proprietor,2017-10-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1508415538656-894a96e2-4b51-4f62-bd14-23818708d879,2021-11-18 11:32:47,23,42000,54650,,collections_on_hold
Company,2017-11-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1509954352683-23ea0cf2-cd64-40c7-9d11-8fe2415769c3,2021-10-12 17:28:32,23,30000,45290,7540.57,open
Sole Proprietor,2017-12-01 00:00:00,Western Cape,Professional services,Other services,Other,Card Machine,1511876731287-3ad18bd2-20ad-42e4-96c6-a0c1272ba443,2021-10-28 15:50:57,15.25,160000,206400,33776.47,open
Sole Proprietor,2018-01-01 00:00:00,North West,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1514986457560-3c827eac-06c4-46f3-a918-69cd9f035037,2021-10-12 11:33:52,16,6000,7850,2734.4,open
Sole Proprietor,2018-01-01 00:00:00,Kwazulu-Natal,Leisure and entertainment,Public,Ticketing,Card Machine,1515227590681-d56953f5-b35d-4d18-a31a-87ac037153dd,2021-09-06 07:59:26,21,22000,28650,15064.77,open
Sole Proprietor,2018-02-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1517491177630-28598007-fcf4-4cd1-b3be-df860eb83a31,2021-11-17 07:08:07,24,7000,20178,2434.8,open
Company,2018-04-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1524474794271-0787890b-afcd-4141-8aa6-7c00187fb50b,2021-11-02 05:50:53,16,75000,97550,12510.72,open
Sole Proprietor,2018-05-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1525024589181-6fa73aba-2b46-4631-a7c4-1dd5f9c4c9f7,2021-10-27 12:17:04,23,45000,59633,9935.31,open
Sole Proprietor,2018-05-01 00:00:00,Western Cape,Retail,Other retail,Other Retail,Card Machine,1526029675245-27abb22b-94de-4a16-bac5-29289a9ece6e,2021-10-14 09:32:57,25,12000,15050,8213.06,open
Sole Proprietor,2018-05-01 00:00:00,Eastern Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1526482902496-7e99a042-7e14-4472-8514-833b9add4f95,2021-11-22 14:30:08,3,6000,7550,,collections_on_hold
Company,2016-06-01 00:00:00,Gauteng,Retail,Other retail,Specialty shop,Card Machine,1457267402534-d4bcd2fc-d50a-4fc2-85eb-cf664088f591,2021-09-30 07:31:21,11,10000,12250,6257.46,open
Sole Proprietor,2016-09-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1473794401674-039a11c0-bbbe-43b0-94ab-b3db60348c1b,2021-10-27 10:04:52,24,8000,10450,1207.2,open
Company,2017-01-01 00:00:00,Western Cape,Online,Online,Online Retail,Card Machine,1485071520232-43a29b21-0435-4f8b-b8f1-366215e96fae,2021-11-06 12:27:03,12,100000,178103,17042.27,open
Sole Proprietor,2017-02-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Health,Medical & Health Practitioners/Services,Card Machine,1483770954246-0b8298c0-ebcb-4179-a1a7-61ad8ec5d41d,2021-09-22 14:04:39,23,29000,37170,12644.25,open
Company,2017-03-01 00:00:00,Mpumalanga,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1487514362120-df293c7e-8386-4d96-af89-01adbe68c4fe,2021-10-14 20:08:31,21,15000,19550,2627.1,open
Sole Proprietor,2017-05-01 00:00:00,Gauteng,Travel and tourism,Accomodation,Bed and Breakfast,Card Machine,1492625475342-09c90dbb-cbd7-49ad-8f87-9335e9641385,2021-10-30 14:21:49,23,16000,20850,3094.42,open
Company,2017-05-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1495038463687-40cf7d8f-acb7-4a95-ba2f-c5b2e9e4dda8,2021-11-03 11:34:20,18,50000,68831,13143.6,open
Sole Proprietor,2017-06-01 00:00:00,Free State,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1498292813053-a42d48ca-6a3f-4699-96f7-3e9e4bcc0f0f,2021-11-26 08:50:47,11,7000,8590,1207.25,open
Sole Proprietor,2017-07-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1486981797035-3b518432-7eaf-47f5-9cbd-aef8c354ea2d,2021-11-23 13:36:49,23,44000,57250,,collections_on_hold
Company,2017-07-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1499768411885-87bf1087-010d-4d82-928a-38fdae1ed106,2021-10-01 11:56:29,22,11000,14350,4325.2,open
Sole Proprietor,2017-07-01 00:00:00,Mpumalanga,Professional services,Other services,Other,Card Machine,1499775024567-7503dd9f-f0ac-404e-a039-e35364c2cb9e,2021-11-17 09:48:29,23,49000,63750,6750.12,open
Sole Proprietor,2017-07-01 00:00:00,Kwazulu-Natal,Leisure and entertainment,Public,Ticketing,Card Machine,1500232796790-71776fb7-d230-48b8-838e-e7f339dd79d4,2021-11-03 13:22:52,23,137000,204640,39583.33,open
Sole Proprietor,2017-07-01 00:00:00,Limpopo,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1500399651805-5b88818e-21d1-4f20-a5f1-52aaf78bae1d,2021-10-07 17:49:03,13,35000,45550,22703.13,open
Sole Proprietor,2017-08-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1502193202581-a2ea024b-d0f5-4b0d-bcf3-5940cb7a5767,2021-09-21 20:31:51,21,7500,9800,3719.1,open
Company,2017-08-01 00:00:00,Western Cape,Retail,Other retail,Other Retail,Card Machine,1502826875405-9e63f9ad-366a-405d-9885-07ce75551c64,2021-10-09 06:58:12,21,4500,5900,1408.12,open
Sole Proprietor,2017-09-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1504518484351-230dcfed-815c-4363-b051-45e130cd9c1d,2021-11-08 14:01:03,23,30000,38150,6519.35,open
Sole Proprietor,2017-09-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1504675358615-2c03a6f8-fe21-4177-b247-bc72fcce7ae9,2021-11-22 08:12:57,8,10000,12750,,collections_on_hold
Sole Proprietor,2017-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Quick service restaurant with delivery,Card Machine,1505897986916-b728dd52-8a95-4261-a0d0-fee34db7a4c5,2021-09-26 07:30:14,21,10000,13050,2279.55,open
Sole Proprietor,2017-10-01 00:00:00,Eastern Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1507402830429-a9d5a32f-1d13-480b-b29a-126e5ee520e0,2021-10-20 14:48:17,22,45000,58550,6692.4,open
Sole Proprietor,2017-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1510495478478-0f9ce9f3-0795-4f2d-9a9d-68987ac32eb0,2021-11-26 13:53:04,13,4000,5170,330.2,open
Sole Proprietor,2017-11-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1510991813349-95323632-7c04-423c-aa43-b298f1c11d4e,2021-11-26 18:03:57,16,25000,32550,1538.08,open
Company,2017-12-01 00:00:00,Free State,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1512643991479-954885d6-55df-403c-85d8-a6aea6b415db,2021-11-28 06:46:48,23,23000,71439,1435.66,open
Sole Proprietor,2017-12-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,Other,Card Machine,1513209414555-791abbce-8c4c-45b4-a15f-38277146e5a0,2021-11-03 15:56:56,23,44000,57250,6922.77,open
Company,2017-12-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1513849122969-936e9a7b-c1b1-48de-9dd4-f182284b859d,2021-10-19 04:25:53,24,327000,639642,84156.83,open
Sole Proprietor,2018-01-01 00:00:00,Limpopo,Personal services,Personal services,Other Services,Card Machine,1515999749633-0dbd49e6-0b8e-4f19-8c39-612ea621da0c,2021-09-02 08:37:44,18,90000,132460,132460,finished
Sole Proprietor,2018-03-01 00:00:00,Eastern Cape,Retail,Other retail,Other Retail,Card Machine,1521730215389-b5172174-3363-4097-8672-1245656ddc27,2021-10-13 12:45:15,24,15000,19400,3580.94,open
Company,2018-05-01 00:00:00,Kwazulu-Natal,Retail,Retail leisure,Electronics/Computer Games,Card Machine,1525858952292-b4d0fe05-ce50-4c0f-b689-3abb0ac818bb,2021-09-06 09:36:26,15,240000,519575,117967.5,open
Sole Proprietor,2018-05-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1527233257004-13587f24-7c52-42fe-b08c-0dca6106e4e6,2021-10-28 19:07:18,13,95000,119750,19724.77,open
Sole Proprietor,2018-06-01 00:00:00,Kwazulu-Natal,Retail,Other retail,Other Retail,Card Machine,1529054421538-a99e20ad-871c-4e86-b167-dcc91099f247,2021-11-12 06:50:07,11,20000,25450,4274.05,open
Sole Proprietor,2015-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1445859989485-105adb75-9ed1-4062-8ded-4c4680876409,2021-09-23 10:48:39,10.32,200000,258000,66392.54,open
Company,2016-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1467622250568-dc0953b3-a32a-4e49-82ce-d5bd554ac028,2021-10-18 12:12:38,17,45000,57650,7790.76,open
Sole Proprietor,2016-07-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1468793112024-9e7d639d-e551-42be-a64d-be2a07b6a5a9,2021-11-12 07:47:00,23,12500,19057,3951.41,open
Sole Proprietor,2016-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1479057055975-2daf8a75-392c-4dad-ba85-9a7e0e9dd0a5,2021-09-15 06:31:06,20,15000,19400,6175,open
Company,2017-03-01 00:00:00,Gauteng,Retail,Retail apparel,Clothing and Accessories,Card Machine,1488193564261-d4309970-8df3-4dea-8fc8-b9893455483b,2021-10-18 11:39:10,23,45000,63439,18538.69,open
Company,2017-04-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1491333832302-41f8a521-6b67-463a-aabf-feace6948c58,2021-10-28 07:31:16,23,98000,127450,17067.26,open
Sole Proprietor,2017-05-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1493882765366-f95a8117-3507-4402-b017-c0e086ab02ef,2021-10-29 17:59:28,23,44000,57250,6957.5,open
Company,2017-05-01 00:00:00,Gauteng,Retail,Retail art,Art Dealer/Gallery,Card Machine,1496053624791-dbe0b432-de20-435f-a502-4ca51ca85c36,2021-09-29 08:48:11,21,56000,72850,17913.31,open
Sole Proprietor,2017-07-01 00:00:00,Gauteng,Retail,Retail art,Craft market,Card Machine,1499207222010-18d75010-aaa6-4fa1-831e-f3e1ba148936,2021-09-28 13:28:16,21,41000,53350,16029.72,open
Company,2017-07-01 00:00:00,Gauteng,Retail,Other retail,Other Retail,Card Machine,1500902104086-20f0936f-3644-460a-b01b-c5dcaa25e0a5,2021-10-26 08:46:07,19,2500,3050,2185,open
